+----+------+------+------+------+------+------+-----+------+------+--------+--------+--------+------+------+------+------+----------------------------------+
| ST | Mux0 | Mux1 | Mux2 | Mux3 | Mux4 | Mux5 | Inc | JmpA | JmpB |   OutA |   OutB |    Out | CfgA | CfgB | CfgC | CfgD |                             STEW |
+----+------+------+------+------+------+------+-----+------+------+--------+--------+--------+------+------+------+------+----------------------------------+
|  0 |   08 |   00 |   00 |   00 |   00 |   00 |   0 |   01 |   00 | 000000 | 000000 | 000000 |   aa |   00 |    0 |    0 | 00000000000000000001541000000010 |
|  1 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   02 |   00 | 010000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00100000000000000001fe2000000000 |
|  2 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   03 |   00 | 000220 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000800000040000001fe3000000000 |
|  3 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   04 |   00 | 050000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 04100000000000000001fe4000000000 |
|  4 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   05 |   00 | 000220 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000800000040000001fe5000000000 |
|  5 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   06 |   00 | 050000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 04100000000000000001fe6000000000 |
|  6 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   07 |   00 | 000220 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000800000040000001fe7000000000 |
|  7 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   08 |   00 | 110000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 20100000000000000001fe8000000000 |
|  8 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   09 |   00 | 000220 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000800000040000001fe9000000000 |
|  9 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   0a |   00 | 150000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 24100000000000000001fea000000000 |
|  a |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   0b |   00 | 000220 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000800000040000001feb000000000 |
|  b |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   0c |   00 | 050000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 04100000000000000001fec000000000 |
|  c |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   0d |   00 | 000220 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000800000040000001fed000000000 |
|  d |   08 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   55 |   00 |    0 |    0 | 00000000000000000000aa0000000010 |
|  e |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
|  f |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
| 10 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
| 11 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
| 12 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
| 13 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
| 14 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
| 15 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
| 16 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
| 17 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
| 18 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
| 19 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
| 1a |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
| 1b |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
| 1c |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
| 1d |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
| 1e |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
| 1f |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
+----+------+------+------+------+------+------+-----+------+------+--------+--------+--------+------+------+------+------+----------------------------------+
