+----+------+------+------+------+------+------+-----+------+------+--------+--------+--------+------+------+------+------+----------------------------------+
| ST | Mux0 | Mux1 | Mux2 | Mux3 | Mux4 | Mux5 | Inc | JmpA | JmpB |   OutA |   OutB |    Out | CfgA | CfgB | CfgC | CfgD |                             STEW |
+----+------+------+------+------+------+------+-----+------+------+--------+--------+--------+------+------+------+------+----------------------------------+
|  0 |   08 |   00 |   10 |   09 |   11 |   1c |   0 |   01 |   0e | 0108c0 | 0000c0 | 000040 |   5a |   f6 |    0 |    0 | 0012007c0000000001ecb41772298010 |
|  1 |   0a |   07 |   0e |   0a |   0e |   00 |   0 |   02 |   03 | 0000c1 | 0000c1 | 000041 |   0a |   88 |    5 |    0 | 0000007c0000001c0b10142181ca71d4 |
|  2 |   0a |   07 |   00 |   00 |   00 |   00 |   0 |   01 |   00 | 0001c1 | 000000 | 000041 |   aa |   00 |    a |    0 | 000001340000001414015410000001d4 |
|  3 |   0a |   07 |   0b |   0a |   0b |   00 |   0 |   01 |   04 | 0102c1 | 0008e1 | 000041 |   0a |   88 |    a |    0 | 0014087c0000801c15101412016a59d4 |
|  4 |   0a |   07 |   0e |   0a |   0e |   00 |   0 |   05 |   06 | 0000c1 | 0000c1 | 000041 |   0a |   88 |    5 |    0 | 0000007c0000001c0b10145301ca71d4 |
|  5 |   0a |   07 |   00 |   00 |   00 |   00 |   0 |   04 |   00 | 0001c1 | 000000 | 000041 |   aa |   00 |    a |    0 | 000001340000001414015440000001d4 |
|  6 |   0a |   07 |   0b |   0a |   0b |   00 |   0 |   04 |   07 | 0002e1 | 0010e1 | 000041 |   0a |   88 |    a |    0 | 0000087c0004c01c15101443816a59d4 |
|  7 |   0a |   07 |   0e |   0a |   0e |   00 |   0 |   08 |   09 | 0020c1 | 0020c1 | 000041 |   0a |   88 |    5 |    0 | 0000007c0030001c0b10148481ca71d4 |
|  8 |   0a |   07 |   00 |   00 |   00 |   00 |   0 |   07 |   00 | 0001c1 | 000000 | 000041 |   aa |   00 |    a |    0 | 000001340000001414015470000001d4 |
|  9 |   0a |   07 |   14 |   0a |   14 |   00 |   0 |   07 |   0a | 0000e1 | 0208c1 | 000041 |   0a |   88 |    a |    0 | 0104007c0000401c15101475028aa1d4 |
|  a |   0a |   07 |   0e |   0a |   0e |   00 |   0 |   0b |   0c | 0000c1 | 0000c1 | 000041 |   0a |   88 |    5 |    0 | 0000007c0000001c0b1014b601ca71d4 |
|  b |   0a |   07 |   00 |   00 |   00 |   00 |   0 |   0a |   00 | 0001c1 | 000000 | 000041 |   aa |   00 |    a |    0 | 0000013400000014140154a0000001d4 |
|  c |   0a |   07 |   0b |   0a |   0b |   00 |   0 |   0a |   0d | 0202c1 | 0008c1 | 000041 |   0a |   88 |    a |    0 | 0084087c0000001c151014a6816a59d4 |
|  d |   0a |   00 |   0b |   0a |   0b |   00 |   0 |   0d |   00 | 0002c1 | 004041 | 000041 |   0a |   88 |    f |    0 | 0000083c0100001c1f1014d0016a5814 |
|  e |   0a |   00 |   00 |   00 |   00 |   00 |   0 |   0f |   00 | 0000c1 | 000000 | 000041 |   aa |   00 |    f |    0 | 00000034000000141e0154f000000014 |
|  f |   0a |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000041 | 000000 | 000041 |   aa |   00 |    f |    0 | 00000014000000141e01540000000014 |
| 10 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000040 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000004000000000001fe0000000000 |
| 11 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000040 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000004000000000001fe0000000000 |
| 12 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000040 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000004000000000001fe0000000000 |
| 13 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000040 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000004000000000001fe0000000000 |
| 14 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000040 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000004000000000001fe0000000000 |
| 15 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000040 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000004000000000001fe0000000000 |
| 16 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000040 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000004000000000001fe0000000000 |
| 17 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000040 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000004000000000001fe0000000000 |
| 18 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000040 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000004000000000001fe0000000000 |
| 19 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000040 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000004000000000001fe0000000000 |
| 1a |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000040 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000004000000000001fe0000000000 |
| 1b |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000040 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000004000000000001fe0000000000 |
| 1c |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000040 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000004000000000001fe0000000000 |
