+----+------+------+------+------+------+------+-----+------+------+--------+--------+--------+------+------+------+------+----------------------------------+
| ST | Mux0 | Mux1 | Mux2 | Mux3 | Mux4 | Mux5 | Inc | JmpA | JmpB |   OutA |   OutB |    Out | CfgA | CfgB | CfgC | CfgD |                             STEW |
+----+------+------+------+------+------+------+-----+------+------+--------+--------+--------+------+------+------+------+----------------------------------+
|  0 |   08 |   00 |   00 |   00 |   00 |   00 |   0 |   01 |   00 | 000080 | 000000 | 000001 |   aa |   00 |    0 |    0 | 00000020000000100001541000000010 |
|  1 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   02 |   00 | 000001 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000040001fe2000000000 |
|  2 |   0d |   00 |   00 |   00 |   00 |   00 |   0 |   03 |   00 | 000001 | 000000 | 000103 |   aa |   00 |    0 |    0 | 0000040000000094000154300000001a |
|  3 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   04 |   00 | 000001 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000040001fe4000000000 |
|  4 |   0e |   00 |   00 |   00 |   00 |   00 |   0 |   02 |   05 | 000001 | 000001 | 000000 |   55 |   ff |    0 |    0 | 000000000000000c01feaa228000001c |
|  5 |   00 |   09 |   00 |   00 |   00 |   00 |   0 |   06 |   00 | 000001 | 000000 | 000000 |   ff |   00 |    a |    0 | 00000000000000041401fe6000000240 |
|  6 |   08 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000001 |   55 |   00 |    0 |    0 | 00000000000000140000aa0000000010 |
|  7 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000040001fe0000000000 |
|  8 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000040001fe0000000000 |
|  9 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000040001fe0000000000 |
|  a |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000040001fe0000000000 |
|  b |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000040001fe0000000000 |
|  c |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000040001fe0000000000 |
|  d |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000040001fe0000000000 |
|  e |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000040001fe0000000000 |
|  f |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000040001fe0000000000 |
| 10 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000040001fe0000000000 |
| 11 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000040001fe0000000000 |
| 12 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000040001fe0000000000 |
| 13 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000040001fe0000000000 |
| 14 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000040001fe0000000000 |
| 15 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000040001fe0000000000 |
| 16 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000040001fe0000000000 |
| 17 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000040001fe0000000000 |
| 18 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000040001fe0000000000 |
| 19 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000040001fe0000000000 |
| 1a |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000040001fe0000000000 |
| 1b |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000040001fe0000000000 |
| 1c |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000040001fe0000000000 |
| 1d |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000040001fe0000000000 |
| 1e |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000040001fe0000000000 |
| 1f |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000040001fe0000000000 |
+----+------+------+------+------+------+------+-----+------+------+--------+--------+--------+------+------+------+------+----------------------------------+
