+----+------+------+------+------+------+------+-----+------+------+--------+--------+--------+------+------+------+------+----------------------------------+
| ST | Mux0 | Mux1 | Mux2 | Mux3 | Mux4 | Mux5 | Inc | JmpA | JmpB |   OutA |   OutB |    Out | CfgA | CfgB | CfgC | CfgD |                             STEW |
+----+------+------+------+------+------+------+-----+------+------+--------+--------+--------+------+------+------+------+----------------------------------+
|  0 |   08 |   00 |   00 |   00 |   00 |   00 |   0 |   01 |   00 | 000000 | 000000 | 000000 |   aa |   00 |    0 |    0 | 00000000000000000001541000000010 |
|  1 |   1c |   00 |   00 |   00 |   00 |   00 |   0 |   02 |   00 | 000880 | 000000 | 000000 |   aa |   00 |    f |    0 | 00020020000000001e01542000000038 |
|  2 |   0a |   00 |   0b |   00 |   0a |   00 |   0 |   03 |   02 | 000050 | 0002c0 | 000040 |   a0 |   cc |    0 |    1 | 0000105c000000012199403101405814 |
|  3 |   1c |   00 |   00 |   00 |   00 |   00 |   0 |   04 |   00 | 004000 | 000000 | 000000 |   aa |   00 |    0 |    0 | 00000000008000000001544000000038 |
|  4 |   1a |   00 |   00 |   09 |   00 |   00 |   1 |   06 |   0c | 008020 | 010880 | 000000 |   55 |   aa |    0 |    0 | 00240040040040000154aa6600090035 |
|  5 |   08 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   55 |   00 |    0 |    0 | 00000000000000000000aa0000000010 |
|  6 |   07 |   00 |   00 |   07 |   00 |   00 |   0 |   07 |   08 | 000880 | 000880 | 000000 |   aa |   55 |    0 |    0 | 000600600000000000ab54740007000e |
|  7 |   0a |   00 |   00 |   00 |   00 |   00 |   0 |   0a |   00 | 0002c0 | 000000 | 000040 |   aa |   00 |    f |    0 | 00000834000000001e0154a000000014 |
|  8 |   0a |   00 |   0b |   0a |   00 |   00 |   0 |   09 |   08 | 0000c0 | 0002c0 | 000040 |   a0 |   aa |    f |    0 | 0000107c000000001f554094000a5814 |
|  9 |   0a |   00 |   00 |   00 |   00 |   00 |   0 |   0b |   00 | 000040 | 000000 | 000040 |   aa |   00 |    0 |    0 | 0000001400000000000154b000000014 |
|  a |   0a |   00 |   0b |   0a |   00 |   00 |   0 |   0b |   0a | 000040 | 0002c0 | 000040 |   a0 |   aa |    0 |    0 | 0000105c00000000015540b5000a5814 |
|  b |   0e |   00 |   00 |   0e |   00 |   00 |   0 |   04 |   06 | 000000 | 000100 | 000000 |   aa |   55 |    0 |    0 | 000002000000000000ab5443000e001c |
|  c |   0a |   00 |   00 |   00 |   00 |   00 |   0 |   0d |   00 | 0002c0 | 000000 | 000040 |   aa |   00 |    f |    0 | 00000834000000001e0154d000000014 |
|  d |   0a |   00 |   0e |   0a |   00 |   00 |   0 |   0f |   0e | 0003c0 | 0003c0 | 000040 |   a0 |   aa |    0 |    0 | 00001b7c00000000015540f7000a7014 |
|  e |   0a |   00 |   0b |   0a |   00 |   00 |   0 |   0c |   0e | 0008c0 | 0002c0 | 000040 |   a0 |   aa |    0 |    0 | 0002107c00000000015540c7000a5814 |
|  f |   0a |   00 |   0b |   0a |   00 |   00 |   0 |   04 |   0f | 000060 | 0002c0 | 000040 |   a0 |   aa |    0 |    0 | 0000105c0000400001554047800a5814 |
| 10 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
| 11 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
| 12 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
| 13 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
| 14 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
| 15 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
| 16 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
| 17 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
| 18 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
| 19 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
| 1a |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
| 1b |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
| 1c |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
| 1d |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
| 1e |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
| 1f |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    0 |    0 | 00000000000000000001fe0000000000 |
+----+------+------+------+------+------+------+-----+------+------+--------+--------+--------+------+------+------+------+----------------------------------+
