+----+------+------+------+------+------+------+-----+------+------+--------+--------+--------+------+------+------+------+----------------------------------+
| ST | Mux0 | Mux1 | Mux2 | Mux3 | Mux4 | Mux5 | Inc | JmpA | JmpB |   OutA |   OutB |    Out | CfgA | CfgB | CfgC | CfgD |                             STEW |
+----+------+------+------+------+------+------+-----+------+------+--------+--------+--------+------+------+------+------+----------------------------------+
|  0 |   04 |   00 |   00 |   00 |   00 |   00 |   0 |   02 |   00 | 0008d0 | 000000 | 000850 |   aa |   00 |    f |    0 | 000a003400000000be01542000000008 |
|  1 |   0a |   00 |   00 |   04 |   05 |   00 |   0 |   02 |   0c | 0000c0 | 000040 | 000040 |   aa |   11 |    0 |    0 | 0000003c000000000023542600a40014 |
|  2 |   0a |   00 |   00 |   04 |   05 |   00 |   0 |   03 |   0c | 0000c0 | 000040 | 000040 |   aa |   11 |    0 |    0 | 0000003c000000000023543600a40014 |
|  3 |   11 |   05 |   00 |   05 |   11 |   00 |   0 |   05 |   04 | 002340 | 000040 | 000040 |   99 |   66 |    9 |    0 | 0000091c0010000012cd325202250162 |
|  4 |   0b |   00 |   00 |   0b |   00 |   00 |   0 |   01 |   05 | 000840 | 002940 | 000040 |   aa |   55 |    0 |    0 | 0006021c0020000000ab5412800b0016 |
|  5 |   0e |   00 |   00 |   0e |   00 |   00 |   0 |   06 |   01 | 000040 | 000040 | 000040 |   aa |   55 |    0 |    0 | 0000001c0000000000ab5460800e001c |
|  6 |   0c |   00 |   0d |   0c |   0d |   00 |   0 |   01 |   07 | 000060 | 000040 | 000040 |   a0 |   77 |    0 |    0 | 0000001c0000400000ef401381ac6818 |
|  7 |   0c |   00 |   0d |   0c |   00 |   00 |   0 |   08 |   01 | 000040 | 000040 | 000040 |   0a |   55 |    0 |    0 | 0000001c0000000000aa1480800c6818 |
|  8 |   13 |   00 |   1c |   13 |   1c |   00 |   0 |   01 |   09 | 000040 | 000040 | 000040 |   05 |   ee |    0 |    0 | 0000001c0000000001dc0a148393e026 |
|  9 |   1c |   00 |   00 |   1c |   00 |   00 |   0 |   0a |   0b | 000040 | 000040 | 000040 |   55 |   aa |    0 |    0 | 0000001c000000000154aaa5801c0038 |
|  a |   00 |   00 |   00 |   1d |   00 |   1e |   0 |   01 |   00 | 000050 | 000000 | 000000 |   ff |   00 |    0 |    4 | 00000005000000002001fe10781d0000 |
|  b |   00 |   13 |   00 |   13 |   00 |   00 |   0 |   01 |   01 | 001050 | 000050 | 000040 |   cc |   55 |    a |    a | 0000001e0002000274ab9810801304c0 |
|  c |   05 |   00 |   00 |   00 |   00 |   00 |   0 |   0d |   00 | 000040 | 000000 | 000040 |   aa |   00 |    0 |    0 | 0000001400000000000154d00000000a |
|  d |   0d |   00 |   00 |   0d |   00 |   00 |   0 |   0e |   00 | 000040 | 000040 | 000040 |   aa |   55 |    0 |    0 | 0000001c0000000000ab54e0000d001a |
|  e |   0c |   00 |   00 |   0c |   00 |   1a |   0 |   0f |   0f | 0108d0 | 0908d0 | 000040 |   aa |   55 |    0 |    e | 0036007f4000000260ab54f7e80c0018 |
|  f |   0a |   00 |   00 |   00 |   00 |   00 |   0 |   10 |   00 | 0000c4 | 000000 | 000044 |   aa |   00 |    0 |    f | 00000037000005030001550000000014 |
| 10 |   0a |   00 |   00 |   00 |   00 |   00 |   0 |   11 |   00 | 0000c4 | 000000 | 000044 |   aa |   00 |    0 |    f | 00000037000005030001551000000014 |
| 11 |   0b |   00 |   00 |   07 |   0b |   00 |   1 |   15 |   18 | 000844 | 000344 | 000944 |   aa |   22 |    0 |    f | 000a161f000007030045555c01670017 |
| 12 |   0e |   00 |   00 |   0e |   00 |   00 |   0 |   13 |   15 | 000044 | 000044 | 000044 |   aa |   55 |    f |    0 | 0000001c000007001eab553a800e001c |
| 13 |   0d |   00 |   10 |   0d |   10 |   00 |   1 |   15 |   15 | 050054 | 110054 | 000044 |   0a |   88 |    f |    0 | 4430001c000007007f10155a820d801b |
| 14 |   0d |   1a |   10 |   0d |   10 |   1a |   0 |   15 |   1b | 008064 | 000054 | 000044 |   10 |   51 |    f |    0 | 0000001c040047005ea2215dea0d869a |
| 15 |   0a |   00 |   00 |   00 |   00 |   00 |   0 |   16 |   00 | 0000c4 | 000000 | 000044 |   aa |   00 |    f |    0 | 00000034000005001e01556000000014 |
| 16 |   0a |   00 |   00 |   00 |   00 |   00 |   0 |   17 |   00 | 0000c4 | 000000 | 000044 |   aa |   00 |    f |    0 | 00000034000005001e01557000000014 |
| 17 |   0b |   00 |   00 |   07 |   0b |   00 |   1 |   0f |   12 | 000844 | 000344 | 000944 |   aa |   22 |    f |    0 | 000a161c000007001e4554f901670017 |
| 18 |   0e |   00 |   00 |   0e |   00 |   00 |   0 |   19 |   0f | 000044 | 000044 | 000044 |   aa |   55 |    0 |    f | 0000001f0000070300ab5597800e001c |
| 19 |   0d |   00 |   10 |   0d |   10 |   00 |   1 |   0f |   0f | 050054 | 110054 | 000044 |   0a |   88 |    0 |    f | 4430001f00000703611014f7820d801b |
| 1a |   0d |   1a |   10 |   0d |   10 |   1a |   0 |   0f |   1b | 008064 | 000054 | 000044 |   10 |   51 |    0 |    f | 0000001f0400470340a220fdea0d869a |
| 1b |   0a |   0c |   00 |   0c |   00 |   00 |   0 |   1c |   00 | 0000c4 | 000000 | 000044 |   aa |   00 |    a |    5 | 0000003500000501140155c0000c0314 |
| 1c |   0a |   0c |   00 |   0c |   00 |   00 |   0 |   1d |   00 | 0000c4 | 000000 | 000044 |   aa |   00 |    a |    5 | 0000003500000501140155d0000c0314 |
| 1d |   0a |   00 |   00 |   00 |   00 |   00 |   0 |   1e |   00 | 0000c4 | 000000 | 000044 |   aa |   00 |    0 |    0 | 0000003400000500000155e000000014 |
| 1e |   0a |   00 |   00 |   00 |   00 |   00 |   0 |   1f |   00 | 0000c4 | 000000 | 000044 |   aa |   00 |    0 |    0 | 0000003400000500000155f000000014 |
| 1f |   0a |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 0000c4 | 000000 | 000044 |   aa |   00 |    0 |    0 | 00000034000005000001540000000014 |
+----+------+------+------+------+------+------+-----+------+------+--------+--------+--------+------+------+------+------+----------------------------------+
