+----+------+------+------+------+------+------+-----+------+------+--------+--------+--------+------+------+------+------+----------------------------------+
| ST | Mux0 | Mux1 | Mux2 | Mux3 | Mux4 | Mux5 | Inc | JmpA | JmpB |   OutA |   OutB |    Out | CfgA | CfgB | CfgC | CfgD |                             STEW |
+----+------+------+------+------+------+------+-----+------+------+--------+--------+--------+------+------+------+------+----------------------------------+
|  0 |   0c |   08 |   00 |   00 |   00 |   00 |   0 |   01 |   00 | 004090 | 000000 | 000000 |   66 |   00 |    a |    0 | 00000020008000003400cc1000000218 |
|  1 |   0f |   08 |   00 |   00 |   00 |   00 |   0 |   02 |   00 | 000201 | 000000 | 000201 |   aa |   00 |    a |    0 | 0000280000000014140154200000021e |
|  2 |   07 |   08 |   00 |   00 |   00 |   00 |   1 |   04 |   00 | 000801 | 000000 | 000201 |   55 |   00 |    a |    0 | 00022000000000141400aa400000020f |
|  3 |   0b |   08 |   00 |   00 |   00 |   00 |   0 |   05 |   00 | 000801 | 000000 | 000201 |   aa |   00 |    a |    0 | 00022000000000141401545000000216 |
|  4 |   0b |   08 |   00 |   00 |   00 |   00 |   0 |   06 |   00 | 000900 | 000000 | 000200 |   aa |   00 |    a |    0 | 00022100000000001401546000000216 |
|  5 |   0f |   08 |   00 |   00 |   00 |   00 |   0 |   06 |   00 | 000900 | 000000 | 000200 |   aa |   00 |    a |    0 | 0002210000000000140154600000021e |
|  6 |   0e |   08 |   00 |   00 |   00 |   00 |   1 |   01 |   00 | 000000 | 000000 | 000000 |   55 |   00 |    a |    0 | 00000000000000001400aa100000021d |
|  7 |   00 |   08 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 00000000000000001401fe0000000200 |
|  8 |   00 |   08 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 00000000000000001401fe0000000200 |
|  9 |   00 |   08 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 00000000000000001401fe0000000200 |
|  a |   00 |   08 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 00000000000000001401fe0000000200 |
|  b |   00 |   08 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 00000000000000001401fe0000000200 |
|  c |   00 |   08 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 00000000000000001401fe0000000200 |
|  d |   00 |   08 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 00000000000000001401fe0000000200 |
|  e |   00 |   08 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 00000000000000001401fe0000000200 |
|  f |   00 |   08 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 00000000000000001401fe0000000200 |
| 10 |   00 |   08 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 00000000000000001401fe0000000200 |
| 11 |   00 |   08 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 00000000000000001401fe0000000200 |
| 12 |   00 |   08 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 00000000000000001401fe0000000200 |
| 13 |   00 |   08 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 00000000000000001401fe0000000200 |
| 14 |   00 |   08 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 00000000000000001401fe0000000200 |
| 15 |   00 |   08 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 00000000000000001401fe0000000200 |
| 16 |   00 |   08 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 00000000000000001401fe0000000200 |
| 17 |   00 |   08 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 00000000000000001401fe0000000200 |
| 18 |   00 |   08 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 00000000000000001401fe0000000200 |
| 19 |   00 |   08 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 00000000000000001401fe0000000200 |
| 1a |   00 |   08 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 00000000000000001401fe0000000200 |
| 1b |   00 |   08 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 00000000000000001401fe0000000200 |
| 1c |   00 |   08 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 00000000000000001401fe0000000200 |
| 1d |   00 |   08 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 00000000000000001401fe0000000200 |
| 1e |   00 |   08 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 00000000000000001401fe0000000200 |
| 1f |   00 |   08 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000000 | 000000 | 000000 |   ff |   00 |    a |    0 | 00000000000000001401fe0000000200 |
+----+------+------+------+------+------+------+-----+------+------+--------+--------+--------+------+------+------+------+----------------------------------+
