Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,33
design__inferred_latch__count,0
design__instance__count,92010
design__instance__area,1.1857E+6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,1571
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,1869
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,41
power__internal__total,0.009677161462605
power__switching__total,0.002993140835314989
power__leakage__total,0.000024796323486953042
power__total,0.012695099227130413
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.46862359763562456
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.58431106051948
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.046878613429102656
timing__setup__ws__corner:nom_fast_1p32V_m40C,1.2120971236452087
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.046879
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,1.994036
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,13379
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,1869
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,40
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.5512629397884958
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.7410279266617735
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6058488326948256
timing__setup__ws__corner:nom_slow_1p08V_125C,-8.314375201436096
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,-3292.9732264158924
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,-8.314375201436096
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.605849
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,784
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,-8.314375
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,783
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,4755
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,1869
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,41
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.507878198316702
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.6501401823141689
timing__hold__ws__corner:nom_typ_1p20V_25C,0.26498592958809947
timing__setup__ws__corner:nom_typ_1p20V_25C,-0.021137758808259927
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,-0.021137758808259927
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,-0.021137758808259927
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.264986
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,1
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,-0.021138
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,1
design__max_slew_violation__count,13379
design__max_fanout_violation__count,1869
design__max_cap_violation__count,41
clock__skew__worst_hold,-0.46862359763562456
clock__skew__worst_setup,0.58431106051948
timing__hold__ws,0.046878613429102656
timing__setup__ws,-8.314375201436096
timing__hold__tns,0.0
timing__setup__tns,-3292.9732264158924
timing__hold__wns,0
timing__setup__wns,-8.314375201436096
timing__hold_vio__count,0
timing__hold_r2r__ws,0.046879
timing__hold_r2r_vio__count,0
timing__setup_vio__count,785
timing__setup_r2r__ws,-8.314375
timing__setup_r2r_vio__count,784
design__die__bbox,0.0 0.0 1724.16 710.64
design__core__bbox,2.88 3.78 1721.28 706.86
design__io,45
design__die__area,1.22526E+6
design__core__area,1.20817E+6
design__instance__count__stdcell,39177
design__instance__area__stdcell,443842
design__instance__count__macros,10
design__instance__area__macros,389796
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.689999
design__instance__utilization__stdcell,0.542345
design__rows,382
design__rows:CoreSite,382
design__sites,438658
design__sites:CoreSite,438658
design__instance__count__class:macro,10
design__instance__area__class:macro,389796
design__instance__count__class:buffer,42
design__instance__area__class:buffer,304.819
design__instance__count__class:inverter,785
design__instance__area__class:inverter,4298.31
design__instance__count__class:sequential_cell,3076
design__instance__area__class:sequential_cell,132263
design__instance__count__class:multi_input_combinational_cell,16328
design__instance__area__class:multi_input_combinational_cell,163621
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__count:STA-0361,2
flow__warnings__count:STA-0472,2
flow__warnings__count:STA-1140,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
flow__warnings__count:PSM-0038,1001
flow__warnings__count:PSM-0039,20
design__power_grid_violation__count__net:VGND,373128
design__power_grid_violation__count__net:VPWR,373611
design__power_grid_violation__count,746739
flow__warnings__count:GRT-0281,1
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,66848.1
design__instance__displacement__mean,1.706
design__instance__displacement__max,52.26
route__wirelength__estimated,1.78537E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,5573
design__instance__area__class:timing_repair_buffer,65933.5
design__instance__count__class:clock_buffer,234
design__instance__area__class:clock_buffer,5519.4
design__instance__count__class:clock_inverter,91
design__instance__area__class:clock_inverter,956.189
design__instance__count__setup_buffer,80
design__instance__count__hold_buffer,44
flow__warnings__count:RSZ-0062,1
global_route__vias,16
global_route__wirelength,3622910
flow__warnings__count:GRT-0115,1
flow__warnings__count:GRT-0273,2
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,13090
design__instance__area__class:antenna_cell,71251.5
antenna_diodes_count,7
route__net,26308
route__net__special,2
route__drc_errors__iter:0,57
route__wirelength__iter:0,2360654
route__drc_errors__iter:1,5
route__wirelength__iter:1,2360654
route__drc_errors__iter:2,5
route__wirelength__iter:2,2360656
route__drc_errors__iter:3,0
route__wirelength__iter:3,2360668
route__drc_errors__iter:4,6014
route__wirelength__iter:4,2359874
route__drc_errors__iter:5,4589
route__wirelength__iter:5,2359752
route__drc_errors__iter:6,3880
route__wirelength__iter:6,2359878
